seed,policy,targets,cleared,all_cleared,virtual_time_s,move_distance_m,detect_count,switch_count,decision_steps
0,fixed,16,16,True,9430.0748402197,42235.37420109845,165,78,0
0,active,16,16,True,12379.038325377005,56680.19162688497,172,103,141
1,fixed,11,11,True,7494.384610538172,32841.92305269085,156,91,0
1,active,11,11,True,8632.78045909877,38213.902295493805,164,115,122
2,fixed,16,16,True,9422.051146264123,42035.25573132056,171,80,0
2,active,16,16,True,12791.495159603772,58592.47579801878,177,108,142
3,fixed,11,11,True,7558.083317772301,32980.41658886148,162,97,0
3,active,11,11,True,10296.455182875832,46407.275914379105,169,115,123
4,fixed,11,11,True,7958.676705091061,35253.38352545528,153,88,0
4,active,11,11,True,8935.012790724933,39900.063953624616,158,110,119
5,fixed,14,14,True,8522.477748196605,37692.38874098297,166,84,0
5,active,14,14,True,10213.075098075606,45840.375490377955,173,110,135
6,fixed,16,16,True,9682.837907938127,43864.18953969058,154,60,0
6,active,16,16,True,11338.142158984725,51830.71079492356,161,87,139
7,fixed,12,12,True,7741.936232213773,34059.68116106884,156,90,0
7,active,12,12,True,9983.605989627915,44998.02994813954,162,114,120
8,fixed,11,11,True,7725.17445726984,34175.872286349186,150,85,0
8,active,11,11,True,9422.702837665438,42413.51418832714,156,105,119
9,fixed,13,13,True,8274.985911911252,36469.929559556236,165,91,0
9,active,13,13,True,10663.415318467392,48122.0765923369,172,114,131
10,fixed,14,14,True,9135.270742574778,41231.35371287386,150,69,0
10,active,14,14,True,9981.31477456635,45116.57387283169,159,93,132
11,fixed,13,13,True,7808.789431202634,34238.94715601315,162,86,0
11,active,13,13,True,11396.681330058918,51858.40665029452,170,110,132
12,fixed,13,13,True,8551.745380048906,38478.7269002445,145,66,0
12,active,13,13,True,10179.687468433776,46238.437342168814,155,92,130
13,fixed,12,12,True,8450.307566364014,37741.53783182003,152,82,0
13,active,12,12,True,11389.905032973158,52154.52516486572,159,104,124
14,fixed,10,10,True,6926.763138057299,30028.81569028647,155,96,0
14,active,10,10,True,9480.526915647084,42562.63457823538,161,113,115
15,fixed,11,11,True,7498.231328053306,33111.15664026651,148,81,0
15,active,11,11,True,8602.45091900784,38347.25459503915,155,103,119
16,fixed,12,12,True,7949.755775391755,35378.778876958764,147,79,0
16,active,12,12,True,9511.609018221767,42953.04509110879,152,101,118
17,fixed,14,14,True,8624.849201536606,38474.24600768299,157,75,0
17,active,14,14,True,11394.385412133272,51991.927060666305,165,101,135
18,fixed,11,11,True,7454.458222411636,32792.291112058156,150,91,0
18,active,11,11,True,10042.741440992259,45563.70720496124,153,110,110
19,fixed,15,15,True,9110.436397378067,41077.18198689032,150,70,0
19,active,15,15,True,11109.010378064073,50770.0518903203,157,95,129
20,fixed,15,15,True,8778.79704238462,38943.985211923056,167,80,0
20,active,15,15,True,12737.302873238872,58371.51436619429,177,103,143
21,fixed,11,11,True,7213.794108761534,31718.970543807653,146,85,0
21,active,11,11,True,8923.488433531566,40012.442167657784,152,106,114
22,fixed,11,11,True,7032.535972065574,30027.67986032784,173,107,0
22,active,11,11,True,10241.596110429518,45772.98055214754,180,132,125
23,fixed,16,16,True,9710.453931314196,43982.269656570934,154,64,0
23,active,16,16,True,11173.656432558762,50933.28216279375,163,92,139
24,fixed,15,15,True,9137.93637446386,41279.68187231926,149,62,0
24,active,15,15,True,11154.156744673028,51005.78372336505,158,88,136
25,fixed,13,13,True,7800.662129720947,33773.310648604696,176,101,0
25,active,13,13,True,12063.576851956534,54827.88425978261,182,123,132
26,fixed,15,15,True,8097.541541586442,35647.707707932175,164,73,0
26,active,15,15,True,11322.367679378436,51371.8383968921,175,98,146
27,fixed,15,15,True,9108.739732227152,40958.69866113571,154,72,0
27,active,15,15,True,12957.304827066484,59891.52413533234,162,94,132
28,fixed,10,10,True,6946.026433204614,30240.132166023057,151,93,0
28,active,10,10,True,9189.057901971235,41200.28950985614,157,114,114
29,fixed,14,14,True,9029.663987698263,40438.319938491266,159,77,0
29,active,14,14,True,10824.022807043155,49060.11403521571,168,102,137
