seed,policy,targets,cleared,all_cleared,virtual_time_s,move_distance_m,detect_count,switch_count,decision_steps
1016,fixed,12,12,True,8277.743064457345,37008.71532228671,148,76,0
1016,active,12,12,True,7890.682292750847,34808.41146375422,157,84,127
1017,fixed,13,13,True,8074.375184946607,36011.875924733016,146,77,0
1017,active,13,13,True,8052.050321433102,35660.2516071655,154,85,122
1018,fixed,13,13,True,8164.981331367241,36194.90665683618,156,81,0
1018,active,13,13,True,8187.745941080613,36043.729705403035,165,89,130
1019,fixed,10,10,True,7019.7841481953,30553.920740976486,153,94,0
1019,active,10,10,True,6729.634551971742,28903.17275985871,160,99,116
1020,fixed,10,10,True,7129.125880976373,31360.629404881853,144,87,0
1020,active,10,10,True,6745.478770002134,29292.393850010667,149,92,110
1021,fixed,14,14,True,8726.201376708002,38651.006883539965,168,86,0
1021,active,14,14,True,8616.030562890179,37850.15281445085,177,91,138
1022,fixed,11,11,True,7330.57760374527,32022.888018726328,156,91,0
1022,active,11,11,True,6964.337063610933,30001.685318054646,162,99,120
1023,fixed,13,13,True,8813.905755154607,39659.528775773026,149,72,0
1023,active,13,13,True,8313.30032935075,36956.501646753735,156,77,128
1024,fixed,16,16,True,9235.77007040713,41508.85035203562,157,69,0
1024,active,16,16,True,8539.66531984218,37808.32659921087,164,78,136
1025,fixed,11,11,True,7048.462881275938,30717.314406379686,152,90,0
1025,active,11,11,True,7083.462881275938,30717.314406379686,158,95,118
1026,fixed,10,10,True,6927.8875167264505,30099.437583632243,153,93,0
1026,active,10,10,True,6834.851481020438,29449.25740510218,160,95,117
1027,fixed,10,10,True,7077.269670311787,30426.348351558907,167,107,0
1027,active,10,10,True,6996.082056579105,29820.410282895496,174,112,121
1028,fixed,13,13,True,8148.205053129845,36006.025265649194,160,82,0
1028,active,13,13,True,7358.160779542406,31750.803897711994,170,93,134
1029,fixed,14,14,True,8552.325340480344,38301.626702401685,150,72,0
1029,active,14,14,True,8165.032903510446,36110.1645175522,159,78,131
1030,fixed,10,10,True,7063.955381369574,30824.776906847856,151,94,0
1030,active,10,10,True,6998.362963163684,30371.81481581841,155,99,112
1031,fixed,15,15,True,9037.438584422467,40452.19292211229,160,72,0
1031,active,15,15,True,9087.483900866566,40432.419504332785,169,81,140
1032,fixed,13,13,True,8282.579521120608,37197.89760560301,142,68,0
1032,active,13,13,True,7854.557160386004,34872.785801930004,148,75,123
1033,fixed,15,15,True,9403.568263532297,42517.84131766145,152,65,0
1033,active,15,15,True,8576.962256241479,38044.811281207374,164,73,141
1034,fixed,16,16,True,9379.279304814183,41921.39652407088,168,75,0
1034,active,16,16,True,8919.786609595956,39383.93304797976,176,83,145
1035,fixed,16,16,True,9378.169661014574,42595.84830507283,145,54,0
1035,active,16,16,True,8250.743944007016,36953.71972003505,145,55,127
1036,fixed,13,13,True,7767.075503519253,34310.37751759623,152,80,0
1036,active,13,13,True,8158.456397232135,36037.28198616064,160,86,127
1037,fixed,10,10,True,6974.8709039675805,30404.354519837885,150,94,0
1037,active,10,10,True,6853.433721580055,29647.16860790026,155,99,111
1038,fixed,10,10,True,6878.275204539991,29861.37602269996,152,96,0
1038,active,10,10,True,6912.404161149605,29842.02080574802,158,104,113
1039,fixed,15,15,True,9713.599084625608,44067.99542312801,152,65,0
1039,active,15,15,True,9283.515675650242,41582.578378251186,164,72,140
1040,fixed,12,12,True,7802.036373348936,34355.18186674466,157,86,0
1040,active,12,12,True,7732.0353879468175,33770.17693973407,165,93,127
1041,fixed,13,13,True,8123.264391037183,35566.32195518588,170,95,0
1041,active,13,13,True,7858.237886863201,34031.18943431597,177,102,132
1042,fixed,11,11,True,7038.439200386034,30887.196001930144,144,86,0
1042,active,11,11,True,7057.976707136141,30809.88353568068,150,91,112
1043,fixed,14,14,True,8659.313762404843,38581.56881202417,159,78,0
1043,active,14,14,True,8342.3040463649,36836.52023182446,164,85,132
1044,fixed,16,16,True,9854.346896236324,44346.73448118158,166,75,0
1044,active,16,16,True,8754.634475945608,38773.17237972798,168,80,137
1045,fixed,15,15,True,9572.072429676009,43410.362148380016,150,65,0
1045,active,15,15,True,9129.752349668408,40903.761748342025,160,74,135
1046,fixed,13,13,True,8381.156045982894,37430.78022991444,150,80,0
1046,active,13,13,True,7983.559437192424,35272.7971859621,155,89,122
1047,fixed,10,10,True,6541.832808434126,28189.16404217061,152,94,0
1047,active,10,10,True,6933.31601053179,29956.58005265894,159,97,115
1048,fixed,12,12,True,8436.736054128098,37928.680270640456,144,71,0
1048,active,12,12,True,8092.45346017018,35912.26730085089,154,80,128
1049,fixed,15,15,True,9202.171320863054,41390.85660431524,156,69,0
1049,active,15,15,True,8990.37300914523,39996.865045726125,168,76,142
1050,fixed,12,12,True,7435.4610595238355,32752.30529761918,148,85,0
1050,active,12,12,True,7548.94448288596,33144.722414429794,154,90,116
1051,fixed,10,10,True,7013.33632486167,30496.68162430833,154,94,0
1051,active,10,10,True,7048.330518678305,30466.65259339151,161,100,117
1052,fixed,11,11,True,7388.503895302532,32022.519476512633,166,99,0
1052,active,11,11,True,7642.110712582496,33065.55356291244,174,104,127
1053,fixed,16,16,True,8946.996015824618,40214.980079123045,152,64,0
1053,active,16,16,True,8316.516852905675,36987.58426452834,154,69,130
1054,fixed,10,10,True,6581.149324558376,28515.746622791874,147,93,0
1054,active,10,10,True,6931.617784154032,30098.088920770155,153,97,109
1055,fixed,10,10,True,7255.134347362358,31525.67173681177,160,100,0
1055,active,10,10,True,6785.8913257687955,28994.456628843956,167,102,118
1056,fixed,10,10,True,6963.967754084484,30164.8387704224,157,96,0
1056,active,10,10,True,6404.391348013859,27116.956740069283,166,101,119
1057,fixed,16,16,True,8908.001315379093,39810.006576895415,160,66,0
1057,active,16,16,True,8781.991889079985,38934.95944539988,168,75,143
1058,fixed,12,12,True,7615.067999106751,33615.33999553374,150,82,0
1058,active,12,12,True,7597.1004437704305,33315.50221885214,157,89,122
1059,fixed,10,10,True,6981.601396225973,30548.00698112986,146,92,0
1059,active,10,10,True,6887.529463376171,30002.64731688085,148,97,105
1060,fixed,11,11,True,7526.921408759737,33024.60704379867,155,92,0
1060,active,11,11,True,7185.417466334897,31137.08733167446,161,98,118
1061,fixed,14,14,True,8795.263252556202,39556.316262780994,148,74,0
1061,active,14,14,True,8261.562637582856,36692.81318791427,153,88,123
1062,fixed,10,10,True,6828.147623165889,29775.738115829434,147,88,0
1062,active,10,10,True,7110.719450800154,31043.59725400076,152,92,112
1063,fixed,11,11,True,7189.144574109209,31340.72287054604,155,91,0
1063,active,11,11,True,7224.144574109209,31340.72287054604,161,96,120
1064,fixed,11,11,True,7532.571572491796,33087.85786245896,154,90,0
1064,active,11,11,True,7181.078397557279,31200.39198778637,158,96,117
1065,fixed,15,15,True,9071.753786952211,40908.76893476103,149,70,0
1065,active,15,15,True,8968.083109269137,40145.415546345655,157,79,129
1066,fixed,13,13,True,7989.166385128755,35180.83192564374,161,83,0
1066,active,13,13,True,7790.444579077607,33937.22289538801,170,88,134
1067,fixed,10,10,True,6638.431359926213,28457.15679963105,159,102,0
1067,active,10,10,True,6610.544928889134,28187.724644445654,163,108,112
1068,fixed,13,13,True,8764.131248210913,39255.65624105453,154,78,0
1068,active,13,13,True,8141.17981028005,35885.899051400236,163,84,129
1069,fixed,12,12,True,8026.320631696137,35511.603158480655,156,84,0
1069,active,12,12,True,7881.597666716338,34552.98833358166,164,91,128
1070,fixed,12,12,True,8191.4256725086025,36192.128362542986,161,88,0
1070,active,12,12,True,7703.379773890386,33556.898869451914,167,97,127
1071,fixed,10,10,True,6716.722272064969,29068.611360324834,152,93,0
1071,active,10,10,True,6372.616730314566,27178.083651572822,158,97,114
1072,fixed,16,16,True,9536.596840086062,43082.98420043028,155,65,0
1072,active,16,16,True,8297.367356745188,36841.83678372591,156,69,131
1073,fixed,12,12,True,7594.598706055883,33422.9935302794,153,85,0
1073,active,12,12,True,7206.562937793614,31242.81468896805,161,93,124
1074,fixed,16,16,True,9664.448368517218,43572.24184258604,161,65,0
1074,active,16,16,True,9354.703601868121,41938.51800934056,164,67,138
1075,fixed,13,13,True,8357.562463570059,37107.81231785025,158,81,0
1075,active,13,13,True,8075.692977621969,35513.46488810982,164,88,129
1076,fixed,12,12,True,8014.852756424474,35654.26378212235,149,79,0
1076,active,12,12,True,7867.507209601244,34687.5360480062,157,85,124
1077,fixed,15,15,True,9053.815405763888,40574.077028819396,158,74,0
1077,active,15,15,True,8878.904116205451,39449.52058102721,167,79,137
1078,fixed,10,10,True,6717.126451641062,29020.632258205293,154,93,0
1078,active,10,10,True,6759.126451641062,29020.632258205293,162,95,120
1079,fixed,14,14,True,8455.38724899268,37581.93624496336,158,79,0
1079,active,14,14,True,8304.910458411025,36604.5522920551,166,84,133
1080,fixed,16,16,True,10046.376180603123,45766.88090301558,150,63,0
1080,active,16,16,True,9312.43890670615,41952.19453353071,155,67,131
1081,fixed,13,13,True,8477.693254176818,37878.46627088406,152,77,0
1081,active,13,13,True,8442.420852433215,37492.104262166045,159,84,126
1082,fixed,11,11,True,7174.013342769324,31505.06671384661,146,88,0
1082,active,11,11,True,7278.889466817583,31899.447334087905,150,94,111
1083,fixed,11,11,True,7489.6077947398,32723.038973698975,159,95,0
1083,active,11,11,True,7248.157589170254,31310.787945851247,166,101,121
1084,fixed,15,15,True,8817.764798800727,39323.82399400359,161,73,0
1084,active,15,15,True,8877.47659312767,39412.38296563831,169,75,139
1085,fixed,15,15,True,9112.73694946773,41068.684747338644,151,69,0
1085,active,15,15,True,8607.6405610784,38278.20280539199,160,77,134
1086,fixed,16,16,True,9951.83104497233,45429.1552248616,147,51,0
1086,active,16,16,True,7973.8350445939095,35649.17522296951,143,49,127
1087,fixed,11,11,True,7291.597748426711,31892.98874213354,153,93,0
1087,active,11,11,True,7280.55257989929,31742.762899496433,156,97,114
1088,fixed,14,14,True,8882.521091251238,39702.60545625617,159,77,0
1088,active,14,14,True,8916.970730688112,39674.85365344052,166,82,134
1089,fixed,12,12,True,7198.579111136,31197.89555567998,161,94,0
1089,active,12,12,True,7176.564098856533,30942.820494282638,166,98,121
1090,fixed,13,13,True,8020.16609372998,35265.83046864987,163,87,0
1090,active,13,13,True,8231.820163028297,36054.100815141464,172,96,132
1091,fixed,12,12,True,7948.178689533075,35110.89344766535,156,86,0
1091,active,12,12,True,7966.788080431827,35043.94040215911,161,93,124
1092,fixed,14,14,True,9260.614033109889,41513.07016554938,162,78,0
1092,active,14,14,True,8790.174575758625,38870.872878793074,172,86,139
1093,fixed,12,12,True,7870.008692606438,34480.04346303216,164,94,0
1093,active,12,12,True,7605.712444663472,32998.562223317334,169,101,124
1094,fixed,14,14,True,8382.842798059348,37304.21399029671,155,77,0
1094,active,14,14,True,8125.5354468385385,35767.67723419266,163,87,132
1095,fixed,11,11,True,7636.736728306052,33523.683641530246,157,92,0
1095,active,11,11,True,7504.238364649386,32661.19182324692,164,97,121
1096,fixed,15,15,True,9095.029192247557,40895.14596123776,155,66,0
1096,active,15,15,True,8870.437002327268,39522.18501163631,164,71,137
1097,fixed,14,14,True,8504.798542008093,37963.99271004044,153,77,0
1097,active,14,14,True,8218.27160250835,36326.358012541736,160,83,127
1098,fixed,11,11,True,7594.522354041966,33427.611770209805,153,89,0
1098,active,11,11,True,7563.892074450308,33124.460372251524,158,94,118
1099,fixed,13,13,True,8013.523615119256,35837.618075596256,142,71,0
1099,active,13,13,True,7708.021288952582,34120.10644476289,148,79,119
