seed,policy,targets,cleared,all_cleared,virtual_time_s,move_distance_m,detect_count,switch_count,decision_steps
1000,fixed,16,16,True,9189.264119278021,41631.320596390055,146,53,0
1000,active,16,16,True,7830.124315884515,34930.62157942253,143,49,126
1001,fixed,16,16,True,9518.992009772843,42754.96004886416,163,73,0
1001,active,16,16,True,9419.049174318583,42045.245871592866,170,80,141
1002,fixed,14,14,True,8531.456952090786,37777.28476045389,165,81,0
1002,active,14,14,True,7923.571283730499,34567.856418652475,170,90,135
1003,fixed,13,13,True,8725.283792333406,39036.418961667005,155,78,0
1003,active,13,13,True,8274.197266385925,36515.98633192959,164,86,131
1004,fixed,13,13,True,8013.333911383422,35396.6695569171,157,84,0
1004,active,13,13,True,7959.90092098048,34919.50460490239,164,91,128
1005,fixed,13,13,True,8792.694290384074,39238.47145192035,159,85,0
1005,active,13,13,True,8369.505912267976,36902.529561339856,166,94,129
1006,fixed,12,12,True,7693.777795772799,33963.888978863986,151,86,0
1006,active,12,12,True,7623.274626154267,33446.37313077133,156,94,118
1007,fixed,16,16,True,9822.5699626692,44467.84981334595,157,64,0
1007,active,16,16,True,8889.157887638223,39670.78943819107,161,70,136
1008,fixed,14,14,True,8602.049318441192,38235.24659220594,161,80,0
1008,active,14,14,True,8336.453604363362,36692.26802181677,168,88,134
1009,fixed,11,11,True,7577.431189409528,33572.15594704762,145,83,0
1009,active,11,11,True,6997.731391445191,30463.65695722594,152,90,115
1010,fixed,15,15,True,9119.838169354009,40869.19084676999,160,71,0
1010,active,15,15,True,9204.118512230238,40985.59256115114,171,77,142
1011,fixed,12,12,True,7885.523136421656,34917.61568210826,152,82,0
1011,active,12,12,True,7937.523136421656,34917.61568210826,161,89,125
1012,fixed,12,12,True,7859.579625165594,34752.89812582795,153,84,0
1012,active,12,12,True,7784.923781129442,34149.618905647185,161,90,124
1013,fixed,13,13,True,8237.504812024525,36567.524060122596,156,79,0
1013,active,13,13,True,8040.226064634187,35291.13032317091,166,87,133
1014,fixed,14,14,True,8777.10659173126,39495.53295865628,148,68,0
1014,active,14,14,True,8465.499618721049,37677.4980936052,157,75,131
1015,fixed,10,10,True,7057.818793252624,30689.093966263106,155,95,0
1015,active,10,10,True,6851.416631931485,29512.08315965741,160,99,115
