seed,policy,profile,targets,cleared,all_cleared,virtual_time_s,move_distance_m,detect_count,switch_count,decision_steps
3028,fixed,uniform,15,15,True,9144.01604292273,41310.08021461363,149,62,0
3028,active,uniform,15,15,True,8728.261542926683,39021.307714633396,156,69,134
3029,fixed,uniform,14,14,True,8235.215267729796,36471.07633864894,159,76,0
3029,active,uniform,14,14,True,8196.52500697225,35962.62503486122,170,84,138
3030,fixed,uniform,11,11,True,7386.189778252637,32605.948891263168,146,80,0
3030,active,uniform,11,11,True,7274.092880070914,31870.464400354558,151,90,117
3031,fixed,uniform,15,15,True,8784.065628654585,39515.32814327291,148,66,0
3031,active,uniform,15,15,True,8061.9850382796885,35699.92519139842,155,72,129
3032,fixed,uniform,11,11,True,7149.685267834472,31008.42633917233,159,98,0
3032,active,uniform,11,11,True,7154.8650433808925,30824.325216904435,166,105,119
3033,fixed,uniform,16,16,True,10065.20765464106,45446.03827320526,165,71,0
3033,active,uniform,16,16,True,8856.004864086774,39315.024320433804,168,73,140
3034,fixed,uniform,14,14,True,8845.224171509906,39781.12085754949,149,74,0
3034,active,uniform,14,14,True,8092.878451718144,35884.39225859069,153,81,124
3035,fixed,uniform,14,14,True,8857.036472570724,39780.18236285358,152,71,0
3035,active,uniform,14,14,True,8902.036472570724,39780.18236285358,160,76,132
3036,fixed,uniform,15,15,True,8806.056013575331,39255.28006787663,161,75,0
3036,active,uniform,15,15,True,8745.415471561386,38787.077357806906,166,83,134
3037,fixed,uniform,15,15,True,9713.096086192594,44020.48043096294,153,69,0
3037,active,uniform,15,15,True,9190.720799031968,41098.603995159814,164,76,138
3038,fixed,uniform,11,11,True,7384.307549288675,32041.53774644335,164,101,0
3038,active,uniform,11,11,True,7414.307549288675,32041.53774644335,169,106,119
3039,fixed,uniform,10,10,True,6947.781585080966,30328.90792540482,148,92,0
3039,active,uniform,10,10,True,6812.653802807742,29478.269014038706,154,97,112
3040,fixed,uniform,14,14,True,8848.155703573075,39710.778517865336,153,71,0
3040,active,uniform,14,14,True,8462.830737877577,37564.15368938786,160,80,132
3041,fixed,uniform,10,10,True,7127.243118347025,31201.21559173512,149,92,0
3041,active,uniform,10,10,True,6878.74492021516,29803.724601075803,154,98,111
3042,fixed,uniform,13,13,True,7781.132674754603,34115.66337377298,162,83,0
3042,active,uniform,13,13,True,7826.900173869234,34114.50086934614,171,84,136
3043,fixed,uniform,14,14,True,9538.31761167241,43036.588058362,157,76,0
3043,active,uniform,14,14,True,8857.074429673108,39390.3721483655,165,84,133
3044,fixed,uniform,13,13,True,8276.394401316573,36741.97200658283,156,83,0
3044,active,uniform,13,13,True,8228.020459324558,36345.102296622776,161,89,124
3045,fixed,uniform,12,12,True,8134.31949703638,36096.59748518187,154,85,0
3045,active,uniform,12,12,True,8107.91157382733,35724.557869136625,162,93,125
3046,fixed,uniform,10,10,True,7111.552263840032,31107.761319200144,150,90,0
3046,active,uniform,10,10,True,7158.552263840032,31107.761319200144,158,97,117
3047,fixed,uniform,12,12,True,7920.6091803006275,34928.045901503116,157,90,0
3047,active,uniform,12,12,True,7586.32118694019,33021.605934700936,165,97,124
3048,fixed,uniform,11,11,True,7154.932344446891,31409.66172223444,146,88,0
3048,active,uniform,11,11,True,6865.896218447526,29844.481092237613,150,92,110
3049,fixed,uniform,13,13,True,7731.614864370743,33878.07432185368,161,86,0
3049,active,uniform,13,13,True,8073.980172583396,35434.90086291695,166,92,127
3050,fixed,uniform,14,14,True,8705.710551673394,38953.55275836691,154,75,0
3050,active,uniform,14,14,True,8329.157492244953,36815.78746122473,163,81,133
3051,fixed,uniform,16,16,True,9163.458424797227,41292.29212398607,153,60,0
3051,active,uniform,16,16,True,8007.496909137686,35587.48454568838,151,55,129
3052,fixed,uniform,10,10,True,6863.174422474736,29530.87211237365,161,102,0
3052,active,uniform,10,10,True,6542.509546505499,27752.547732527473,167,107,117
3053,fixed,uniform,13,13,True,8726.66951228087,38748.34756140431,165,87,0
3053,active,uniform,13,13,True,8200.042457925148,35755.2122896257,177,99,137
3054,fixed,uniform,10,10,True,7011.788038601362,30448.940193006794,155,97,0
3054,active,uniform,10,10,True,6662.839688254072,28549.19844127035,160,103,113
3055,fixed,uniform,14,14,True,9012.706827074262,40483.53413537129,154,76,0
3055,active,uniform,14,14,True,8409.92276196698,37324.613809834875,158,85,126
3056,fixed,uniform,12,12,True,7699.673538463216,33788.36769231605,158,92,0
3056,active,uniform,12,12,True,8061.082639460976,35400.413197304864,165,96,123
3057,fixed,uniform,14,14,True,8845.26759093418,39781.33795467087,149,74,0
3057,active,uniform,14,14,True,8416.21287834748,37451.06439173737,155,81,125
3058,fixed,uniform,14,14,True,8711.256059649022,39206.28029824509,147,65,0
3058,active,uniform,14,14,True,8254.941963066287,36744.70981533141,153,71,129
3059,fixed,uniform,10,10,True,6855.920529284828,29844.602646424133,149,92,0
