seed,target_count,cleared_count,terminated,truncated,termination_reason,virtual_time_s,move_distance_m,detect_count,switch_count,decision_steps,strategy,cleared_rate,average_localization_clear_time_s,success
92012,16,16,True,False,completed,7292.229630629776,32241.148153148824,141,59,130,fixed_scan,1.0,455.764351914361,1
92013,16,16,True,False,completed,11224.290589202887,50836.45294601433,177,92,145,fixed_scan,1.0,701.5181618251804,1
92014,16,16,True,False,completed,6579.3575492771015,28651.787746385464,142,59,131,fixed_scan,1.0,411.20984682981884,1
92015,16,16,True,False,completed,10680.373409729087,48091.86704864534,178,92,146,fixed_scan,1.0,667.523338108068,1
92016,16,16,True,False,completed,10725.06800012563,48570.34000062808,168,91,137,fixed_scan,1.0,670.3167500078519,1
92017,16,16,True,False,completed,12885.621208750805,58753.10604375393,191,100,153,fixed_scan,1.0,805.3513255469253,1
92018,16,16,True,False,completed,12947.490748949409,58757.45374474697,201,111,155,fixed_scan,1.0,809.2181718093381,1
92019,16,16,True,False,completed,12787.009951443539,58275.0497572176,188,112,142,fixed_scan,1.0,799.1881219652212,1
92020,16,16,True,False,completed,6649.601160028076,28828.00580014034,149,59,138,fixed_scan,1.0,415.60007250175477,1
92001,16,16,True,False,completed,11621.316126259171,53086.58063129579,166,94,143,active,1.0,726.3322578911982,1
92002,16,16,True,False,completed,12092.993329048631,55014.96664524311,180,110,141,active,1.0,755.8120830655395,1
92003,16,16,True,False,completed,8856.759691965632,39988.79845982812,141,74,130,active,1.0,553.547480747852,1
92004,16,16,True,False,completed,11771.175352756485,53195.87676378238,189,107,153,active,1.0,735.6984595472803,1
92005,16,16,True,False,completed,8074.34672592073,36281.73362960361,133,73,122,active,1.0,504.6466703700456,1
92006,16,16,True,False,completed,13084.79938488961,59543.99692444796,197,111,156,active,1.0,817.7999615556006,1
92007,16,16,True,False,completed,11419.310813615448,51751.554068077225,176,109,139,active,1.0,713.7069258509655,1
92008,16,16,True,False,completed,12412.026410256587,56545.13205128291,183,108,149,active,1.0,775.7516506410367,1
92009,16,16,True,False,completed,13855.411166636923,63712.05583318455,182,123,142,active,1.0,865.9631979148077,1
92010,16,16,True,False,completed,13570.142263518506,61895.711317592504,198,121,151,active,1.0,848.1338914699066,1
92011,16,16,True,False,completed,9004.401649207874,40602.0082460393,146,74,135,active,1.0,562.7751030754921,1
92012,16,16,True,False,completed,8675.954449338486,39079.77224669239,141,75,130,active,1.0,542.2471530836553,1
92013,16,16,True,False,completed,12088.255586762394,55106.27793381197,177,102,145,active,1.0,755.5159741726496,1
92014,16,16,True,False,completed,7780.1551352999995,34560.77567649994,142,78,131,active,1.0,486.25969595624997,1
92015,16,16,True,False,completed,12135.218171215323,55316.09085607655,178,102,146,active,1.0,758.4511357009577,1
92016,16,16,True,False,completed,10879.186633547586,49325.93316773793,168,94,137,active,1.0,679.9491645967241,1
92017,16,16,True,False,completed,14371.151079538053,66115.7553976902,191,113,153,active,1.0,898.1969424711283,1
92018,16,16,True,False,completed,14485.611868963,66408.05934481493,201,119,155,active,1.0,905.3507418101875,1
92019,16,16,True,False,completed,13008.071877610253,59330.359388051205,188,122,142,active,1.0,813.0044923506408,1
92020,16,16,True,False,completed,8247.174912870372,36740.87456435181,149,74,138,active,1.0,515.4484320543983,1
92001,16,16,True,False,completed,8436.558788061762,37542.793940308766,157,63,140,ppo,1.0,527.2849242538601,1
92002,16,16,True,False,completed,8128.615266499932,35318.076332499615,179,90,149,ppo,1.0,508.03845415624573,1
92003,16,16,True,False,completed,5942.693168969035,26243.46584484516,117,29,107,ppo,1.0,371.41832306056466,1
92004,16,16,True,False,completed,8752.919457890055,38269.59728945022,186,89,159,ppo,1.0,547.0574661181284,1
92005,16,16,True,False,completed,5241.454627726433,22977.27313863215,107,31,97,ppo,1.0,327.59091423290204,1
92006,16,16,True,False,completed,8822.589504623464,38407.94752311727,193,96,160,ppo,1.0,551.4118440389665,1
92007,16,16,True,False,completed,8664.787928901618,38058.939644508064,176,93,149,ppo,1.0,541.5492455563511,1
92008,16,16,True,False,completed,8075.811763449672,35089.05881724831,179,83,154,ppo,1.0,504.7382352156045,1
92009,16,16,True,False,completed,7863.365018468226,34041.825092341096,177,90,143,ppo,1.0,491.4603136542641,1
92010,16,16,True,False,completed,9310.682489169447,40743.41244584717,196,102,156,ppo,1.0,581.9176555730904,1
92011,16,16,True,False,completed,5757.74808716376,25188.740435818785,122,30,112,ppo,1.0,359.859255447735,1
92012,16,16,True,False,completed,5902.177193319116,26060.885966595546,116,30,106,ppo,1.0,368.88607458244473,1
92013,16,16,True,False,completed,9555.462204895313,42542.311024476534,177,82,155,ppo,1.0,597.2163878059571,1
92014,16,16,True,False,completed,6157.964169501534,27289.820847507643,118,30,108,ppo,1.0,384.8727605938459,1
92015,16,16,True,False,completed,8992.50103531114,39827.505176555635,173,82,148,ppo,1.0,562.0313147069462,1
92016,16,16,True,False,completed,9158.459357434804,40832.296787173975,167,77,145,ppo,1.0,572.4037098396752,1
92017,16,16,True,False,completed,9342.261304986,41186.306524929954,188,85,157,ppo,1.0,583.891331561625,1
92018,16,16,True,False,completed,9032.658102169844,39313.29051084917,198,100,161,ppo,1.0,564.5411313856152,1
92019,16,16,True,False,completed,9819.54441083703,43502.72205418509,187,104,149,ppo,1.0,613.7215256773144,1
92020,16,16,True,False,completed,6020.5439264492925,26422.719632246437,125,31,115,ppo,1.0,376.2839954030808,1
