seed,policy,profile,targets,cleared,all_cleared,virtual_time_s,move_distance_m,detect_count,switch_count,decision_steps
2000,fixed,uniform,13,13,True,8456.487250714854,37877.436253574255,148,76,0
2000,active,uniform,13,13,True,8008.256622362872,35441.283111814344,154,85,122
2001,fixed,uniform,14,14,True,9134.990904943832,41314.95452471911,147,67,0
2001,active,uniform,14,14,True,8700.992623165941,38964.96311582968,153,73,128
2000,fixed,edge,13,13,True,8371.689534587173,36708.447672935836,173,100,0
2000,active,edge,13,13,True,7575.786416139294,32473.932080696442,181,111,132
2001,fixed,edge,14,14,True,8641.715884063176,37923.57942031583,177,102,0
2001,active,edge,14,14,True,8682.85577563031,37954.27887815152,183,107,133
2000,fixed,clustered,13,13,True,7702.15661047838,34530.78305239188,134,61,0
2000,active,clustered,13,13,True,6638.532486051002,28972.662430255004,141,74,118
2001,fixed,clustered,14,14,True,8003.790087809903,36068.9504390495,133,55,0
2001,active,clustered,14,14,True,7229.260148281061,31961.30074140529,140,67,123
2000,fixed,min_radius,13,13,True,7980.949536075025,35204.74768037509,157,90,0
2000,active,min_radius,13,13,True,7589.859858869963,33039.29929434979,164,97,122
2001,fixed,min_radius,14,14,True,8277.47119384813,36337.35596924064,170,90,0
2001,active,min_radius,14,14,True,8323.386054268363,36306.9302713418,179,97,138
2000,fixed,max_error,13,13,True,8479.629766047054,37943.148830235245,150,76,0
2000,active,max_error,13,13,True,8029.299961089302,35471.499805446474,157,85,125
2001,fixed,max_error,14,14,True,9134.758413491729,41313.792067458606,147,67,0
2001,active,max_error,14,14,True,8702.01679536732,38970.08397683657,153,73,128
