seed,completed,termination_reason,action_count,virtual_time_s,move_distance_m,measure_count,switch_count,clear_success_count,clear_failure_count,cleared_channels,absent_channels,unresolved_channels,global_grid_points
0,True,completed,418,15200.455926677827,63822.27963338918,397,368,10,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",[],31
1,True,completed,466,16058.689893195577,66658.4494659779,447,413,11,8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 13, 14, 15, 16, 17, 18, 19, 20]",[],31
2,True,completed,470,17278.243783723978,72791.21891861991,443,400,12,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[13, 14, 15, 16, 17, 18, 19, 20]",[],31
3,True,completed,449,17438.92207487135,74259.61037435677,421,372,13,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 15, 16, 17, 18, 19, 20]",[],31
4,True,completed,466,17738.02793195608,75215.13965978035,440,389,14,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 16, 17, 18, 19, 20]",[],31
