seed,completed,termination_reason,action_count,virtual_time_s,move_distance_m,measure_count,switch_count,clear_success_count,clear_failure_count,cleared_channels,absent_channels,unresolved_channels,global_grid_points
0,True,completed,435,12248.488410830076,48602.442054150364,413,377,10,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",[],31
1,True,completed,492,13865.326719370374,55031.633596851905,468,425,11,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 13, 14, 15, 16, 17, 18, 19, 20]",[],31
2,True,completed,472,14137.512420590996,57002.56210295502,446,405,12,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[13, 14, 15, 16, 17, 18, 19, 20]",[],31
3,True,completed,470,14944.696422794976,61243.4821139749,437,386,13,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 15, 16, 17, 18, 19, 20]",[],31
4,True,completed,474,14939.135165976877,61055.67582988436,442,394,14,18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 16, 17, 18, 19, 20]",[],31
