seed,global_spacing_m,optical_spacing_m,max_local_measurements,no_progress_window,completed,termination_reason,action_count,virtual_time_s,move_distance_m,measure_count,switch_count,clear_success_count,clear_failure_count,cleared_channels,absent_channels,unresolved_channels,global_grid_points
0,950.0,30.0,4,4,True,completed,434,12220.426970135624,48537.13485067811,407,377,10,17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",[],31
1,950.0,30.0,4,4,True,completed,519,13995.251225504056,55386.25612752031,457,425,11,51,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 13, 14, 15, 16, 17, 18, 19, 20]",[],31
2,950.0,30.0,4,4,True,completed,481,14185.494768042427,57187.473840212166,438,405,12,31,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[13, 14, 15, 16, 17, 18, 19, 20]",[],31
3,950.0,30.0,4,4,True,completed,475,14970.984253016748,61379.92126508374,429,386,13,33,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 15, 16, 17, 18, 19, 20]",[],31
4,950.0,30.0,4,4,True,completed,480,14978.700104015485,61253.5005200774,433,394,14,33,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 16, 17, 18, 19, 20]",[],31
