seed,global_spacing_m,optical_spacing_m,max_local_measurements,no_progress_window,completed,termination_reason,action_count,virtual_time_s,move_distance_m,measure_count,switch_count,clear_success_count,clear_failure_count,cleared_channels,absent_channels,unresolved_channels,global_grid_points
0,950.0,30.0,12,4,True,completed,437,12266.488410830076,48662.442054150364,413,377,10,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",[],31
1,950.0,30.0,12,4,True,completed,489,13850.969944939408,55004.84972469706,468,425,11,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 13, 14, 15, 16, 17, 18, 19, 20]",[],31
2,950.0,30.0,12,4,True,completed,469,14106.120115745583,56890.60057872795,446,405,12,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[13, 14, 15, 16, 17, 18, 19, 20]",[],31
3,950.0,30.0,12,4,True,completed,469,14937.777704477074,61223.88852238537,437,386,13,19,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 15, 16, 17, 18, 19, 20]",[],31
4,950.0,30.0,12,4,True,completed,476,14952.742861131464,61093.7143056573,442,394,14,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 16, 17, 18, 19, 20]",[],31
